,Unit_Name_1,Score
0,univ amsterdam,282.99326923076916
1,"univ texas, austin",270.84448051948056
2,ohio state univ,224.9365440115439
3,michigan state univ,217.69120879120888
4,"univ wisconsin, madison",194.59752192252213
5,penn state univ,174.21049783549793
6,univ penn,170.35107424201348
7,univ michigan,155.35332306582316
8,"univ illinois, urbana-champaign",143.9197191697191
9,"indiana univ, bloomington",139.64761904761906
10,"univ georgia, athens",133.0449134199134
11,univ so calif,132.84470251970257
12,"univ maryland, college pk",124.8173992673993
13,univ calif santa barbara,121.40384615384616
14,cornell univ,119.11834733893555
15,"univ missouri, columbia",117.26309523809523
16,nanyang technol univ,116.18809523809522
17,northwestern univ,112.53777056277059
18,univ arizona,108.68134920634921
19,purdue univ,106.51426073926073
20,chinese univ hong kong,103.90833333333332
21,univ florida,103.87413419913418
22,"univ alabama, tuscaloosa",102.21369047619046
23,arizona state univ,97.88380230880227
24,univ washington,97.55203130203135
25,"univ minnesota, twin cities",93.1257936507937
26,rutgers state univ,90.51378066378068
27,univ zurich,90.4067210567211
28,univ ghent,89.2134199134199
29,univ vienna,88.92619047619051
30,univ kentucky,87.29281413031416
31,univ iowa,85.79487734487736
32,univ oklahoma,83.13144257703087
33,univ colorado,82.67115610997193
34,vrije univ amsterdam,80.7169191919192
35,washington state univ,80.43214285714289
36,univ utah,77.31562881562884
37,natl univ singapore,75.94285714285714
38,univ oxford,74.46904761904761
39,univ antwerp,73.30519480519486
40,ohio univ,72.50833333333334
41,texas tech univ,72.2634920634921
42,hebrew univ jerusalem,72.24365079365083
43,univ haifa,72.17424242424244
44,univ calif davis,72.15093795093797
45,city univ hong kong,70.2761904761905
46,queensland univ technol,69.41829004329006
47,"texas a&m, college stn",68.75357142857142
48,"univ n carolina, chapel hill",68.66924186924193
49,"univ tennessee, knoxville",68.65238095238097
50,univ helsinki,68.52420634920635
51,temple univ,67.90992063492067
52,univ oslo,65.12619047619049
53,george washington univ,63.992730880230894
54,cardiff univ,63.950000000000024
55,univ copenhagen,62.66666666666667
56,stanford univ,61.934340659340684
57,univ kansas,61.62142857142858
58,george mason univ,61.4068542568543
59,univ leeds,61.18571428571428
60,hong kong baptist univ,60.90952380952384
61,erasmus univ,57.40833333333335
62,univ queensland,57.38906926406928
63,univ calif los angeles,57.213167388167456
64,univ melbourne,56.53928571428576
65,univ sydney,56.404809079809084
66,suny buffalo,53.93095238095239
67,"univ illinois, chicago",53.42197802197804
68,san diego state univ,52.31746031746033
69,natl chengchi univ,51.99166666666669
70,univ loughborough,51.877777777777794
71,univ connecticut,51.85963203463204
72,univ leicester,51.39285714285714
73,aarhus univ,51.15833333333333
74,"univ wisconsin, milwaukee",50.59848484848484
75,nyu,50.198917748917765
76,monash univ,49.95952380952382
77,tel aviv univ,47.65959595959597
78,univ gothenburg,47.30952380952383
79,radboud univ nijmegen,47.17857142857144
80,"univ massachusetts, amherst",47.096918767507006
81,katholieke univ leuven,46.81807359307359
82,syracuse univ,46.098809523809535
83,univ southern denmark,45.55357142857146
84,univ s carolina,45.04358974358974
85,boston univ,44.538744588744606
86,univ waikato,43.45952380952381
87,univ oregon,42.35674603174605
88,univ sheffield,42.21309523809524
89,univ westminster,42.083333333333336
90,univ groningen,41.99444444444444
91,depaul univ,41.90238095238096
92,johannes gutenberg univ mainz,41.854761904761915
93,seoul natl univ,41.75178571428573
94,"louisiana state univ, baton rouge",41.535714285714285
95,univ miami,41.35992063492066
96,columbia univ,41.27088744588745
97,univ toronto,40.76071428571428
98,univ s florida,40.46074481074482
99,univ houston,39.477777777777774
